key,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,iter,method,train_test,n,mse,r2,early_stopping,residual_connection,depth,n_epochs,lr,batch_size,type_width,width,verbose,learning_rate,learning_rate_init,max_iter,validation_fraction,mlp_depth
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,val,10000,10.220987183199691,0.8260404940908339,True,,1.0,2000.0,,200.0,linear,20.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,train,10000,8.811772049595112,0.8520959865977705,True,,1.0,2000.0,,200.0,linear,30.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,test,10000,10.20780122004069,0.8253444581536489,True,,1.0,2000.0,,200.0,linear,30.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,val,10000,10.179952609568087,0.8267388957252553,True,,1.0,2000.0,,200.0,linear,30.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,train,10000,8.458392644869354,0.8580273965251337,True,,1.0,2000.0,,200.0,linear,40.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,test,10000,10.139950361730921,0.8265053867578979,True,,1.0,2000.0,,200.0,linear,40.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,val,10000,10.129564058931946,0.8275965004962065,True,,1.0,2000.0,,200.0,linear,40.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,train,10000,8.579641738247686,0.855992252239614,True,,1.0,2000.0,,200.0,linear,50.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,test,10000,10.17610187971343,0.8258868340622001,True,,1.0,2000.0,,200.0,linear,50.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,val,10000,10.124757594618156,0.8276783057212996,True,,1.0,2000.0,,200.0,linear,50.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,train,10000,8.710979506975702,0.853787771347821,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,test,10000,10.212665362042546,0.8252612326539905,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,torchMLP,val,10000,10.142356406974391,0.8273787768551338,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,10.138753371466633,0.829822843113128,False,False,0.0,100.0,0.001,10.0,,,False,,,,,
