key,n_features,missing_rate,prop_latent,sm_type,sm_param,snr,perm,iter,method,train_test,n,mse,r2,early_stopping,residual_connection,depth,n_epochs,lr,batch_size,type_width,width,verbose,learning_rate,learning_rate_init,max_iter,validation_fraction,mlp_depth
0,10,0.5,0.5,probit,0.5,10,False,0,ConstantImputedLR,train,10000,15.10528887095425,0.7466632494295765,,,,,,,,,,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,ConstantImputedLR,test,10000,14.875395362897299,0.7456999994562434,,,,,,,,,,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,ConstantImputedLR,val,10000,14.503043893431872,0.7533657766262535,,,,,,,,,,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,EMLR,train,10000,15.328472090901382,0.7429201557220493,,,,,,,,,,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,EMLR,test,10000,15.611051909959746,0.7331236977342325,,,,,,,,,,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,EMLR,val,10000,14.977846671557066,0.7452914292479326,,,,,,,,,,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,MICELR,train,10000,22.62664822542263,0.6205195685631075,,,,,,,,,,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,MICELR,test,10000,22.83984971464828,0.6095449127126182,,,,,,,,,,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,MICELR,val,10000,22.452539401389238,0.6181791451008483,,,,,,,,,,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,train,10000,10.917443488802265,0.8168992541872078,True,,1.0,2000.0,,200.0,linear,1.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,test,10000,11.167995444497151,0.8090792763268685,True,,1.0,2000.0,,200.0,linear,1.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,val,10000,10.856714971431334,0.8153741045642329,True,,1.0,2000.0,,200.0,linear,1.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,train,10000,10.360100005024744,0.8262466813260094,True,,1.0,2000.0,,200.0,linear,2.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,test,10000,10.869240514000786,0.8141865946289535,True,,1.0,2000.0,,200.0,linear,2.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,val,10000,10.507064212335838,0.8213201558935412,True,,1.0,2000.0,,200.0,linear,2.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,train,10000,10.082932600735143,0.8308951650568823,True,,1.0,2000.0,,200.0,linear,3.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,test,10000,10.76565948949783,0.8159573478724689,True,,1.0,2000.0,,200.0,linear,3.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,val,10000,10.436288855159283,0.8225237394570679,True,,1.0,2000.0,,200.0,linear,3.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,train,10000,10.102364419693464,0.8305692663657266,True,,1.0,2000.0,,200.0,linear,4.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,test,10000,10.763593368534211,0.815992668921043,True,,1.0,2000.0,,200.0,linear,4.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,val,10000,10.39158768800872,0.8232839135091558,True,,1.0,2000.0,,200.0,linear,4.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,train,10000,10.008238849210418,0.832147883390232,True,,1.0,2000.0,,200.0,linear,5.0,False,,,,,
0,10,0.5,0.5,probit,0.5,10,False,0,torchMLP,test,10000,10.722147297051665,0.8167012037695914,True,,1.0,2000.0,,200.0,linear,5.0,False,,,,,
