key,n_features,missing_rate,prop_latent,snr,masking,iter,method,train_test,n,mse,r2,early_stopping,residual_connection,depth,n_epochs,lr,batch_size,type_width,width,verbose,learning_rate,learning_rate_init,max_iter,validation_fraction,mlp_depth
0,20,0.5,0.5,10,MCAR,0,torchMLP,train,100000,31.33285000102487,0.7778601264489994,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,test,100000,40.83483045762919,0.7093024437536319,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,val,100000,42.312905445108804,0.7054866804961334,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,train,100000,44.41357588078283,0.6851219684841259,True,,1.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,test,100000,45.58685019642231,0.6754734671221498,True,,1.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,val,100000,46.840169674983414,0.6739752632917254,True,,1.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,train,100000,43.55373487339898,0.6912179659005104,True,,2.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,test,100000,44.554977953412035,0.6828192240664035,True,,2.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,val,100000,45.725588286684605,0.6817331579830024,True,,2.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,train,100000,42.4020059947565,0.6993833548599669,True,,3.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,test,100000,43.55693993326308,0.6899241198195352,True,,3.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,val,100000,44.83888812011787,0.6879049159068106,True,,3.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,train,100000,43.18119170427,0.6938591776791994,True,,4.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,test,100000,44.05088543460222,0.6864077895556648,True,,4.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,val,100000,45.58544530491088,0.6827086044651848,True,,4.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,train,100000,42.61052734293075,0.6979050052711298,True,,5.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,test,100000,43.95651053460253,0.6870796315222765,True,,5.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,val,100000,44.91886132687562,0.6873482730966365,True,,5.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,train,100000,41.915646610265725,0.7028314871609733,True,,6.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,test,100000,43.22422699256835,0.6922926576022954,True,,6.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,val,100000,44.48481170504029,0.6903694174404575,True,,6.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,train,100000,42.743102237923026,0.6969650917168677,True,,7.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,test,100000,44.2338200094266,0.6851055034127214,True,,7.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,val,100000,45.50836613030658,0.683245103751597,True,,7.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,train,100000,42.59419043330574,0.6980208287292,True,,8.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,test,100000,43.942719727542055,0.6871778063858971,True,,8.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,val,100000,44.80583575311018,0.6881349724870074,True,,8.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,train,100000,43.152174113225264,0.6940649031081093,True,,9.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,test,100000,44.50656247430327,0.6831638872204728,True,,9.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,val,100000,45.802351755914465,0.681198856121627,True,,9.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,train,100000,42.60529130071099,0.6979421271338575,True,,10.0,2000.0,,200.0,linear,1.0,False,,,,,
0,20,0.5,0.5,10,MCAR,0,torchMLP,test,100000,43.90153825151449,0.6874709716644024,True,,10.0,2000.0,,200.0,linear,1.0,False,,,,,
