key,n_features,missing_rate,prop_latent,snr,masking,iter,method,train_test,n,mse,r2,early_stopping,residual_connection,depth,n_epochs,lr,batch_size,type_width,width,verbose,learning_rate,learning_rate_init,max_iter,validation_fraction,mlp_depth
0,10,0.5,0.5,10,MCAR,0,torchMLP,val,10000,12.798456048701963,0.782172401674474,True,,1.0,2000.0,,200.0,linear,30.0,False,,,,,
0,10,0.5,0.5,10,MCAR,0,torchMLP,train,10000,10.372410352943605,0.8259009525869787,True,,1.0,2000.0,,200.0,linear,40.0,False,,,,,
0,10,0.5,0.5,10,MCAR,0,torchMLP,test,10000,13.048336274108078,0.7767428858554262,True,,1.0,2000.0,,200.0,linear,40.0,False,,,,,
0,10,0.5,0.5,10,MCAR,0,torchMLP,val,10000,12.778425615755273,0.7825133163196152,True,,1.0,2000.0,,200.0,linear,40.0,False,,,,,
0,10,0.5,0.5,10,MCAR,0,torchMLP,train,10000,9.463469437668175,0.8411573628252473,True,,1.0,2000.0,,200.0,linear,50.0,False,,,,,
0,10,0.5,0.5,10,MCAR,0,torchMLP,test,10000,13.083030461274506,0.7761492680989818,True,,1.0,2000.0,,200.0,linear,50.0,False,,,,,
0,10,0.5,0.5,10,MCAR,0,torchMLP,val,10000,12.751881105536965,0.7829650994790508,True,,1.0,2000.0,,200.0,linear,50.0,False,,,,,
0,10,0.5,0.5,10,MCAR,0,torchMLP,train,10000,9.578124497532803,0.839232898209571,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,10,0.5,0.5,10,MCAR,0,torchMLP,test,10000,13.009093689244063,0.7774143267245353,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,10,0.5,0.5,10,MCAR,0,torchMLP,val,10000,12.741463901036099,0.7831423985711488,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,13.020128363265831,0.7814594806696455,False,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,13.769284930460017,0.7644074498977456,False,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,13.49023179376068,0.7703984932786034,False,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,13.063608025705376,0.7807296823339659,True,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,13.749847505476978,0.7647400243591139,True,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,13.477494318033497,0.7706152830019751,True,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,13.09597604054398,0.7801863910103197,False,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,13.738415780055512,0.764935621251597,False,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,13.477697768935766,0.7706118203013768,False,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,train,10000,13.557685458592136,0.7724366812390522,True,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,test,10000,14.341903512878911,0.7546099424201006,True,True,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MCAR,0,Neumann,val,10000,13.910842467449827,0.7632397694035404,True,True,0.0,100.0,0.001,10.0,,,False,,,,,
