key,n_features,missing_rate,prop_latent,sm_type,sm_param,snr,perm,iter,method,train_test,n,mse,r2,early_stopping,residual_connection,depth,n_epochs,lr,batch_size,type_width,width,verbose,learning_rate,learning_rate_init,max_iter,validation_fraction,mlp_depth
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,train,10000,9.936539092914298,0.8333503882500815,True,,1.0,2000.0,,200.0,linear,30.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,test,10000,11.007784618769987,0.8118181355017414,True,,1.0,2000.0,,200.0,linear,30.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,val,10000,10.904768104914302,0.8145569280222371,True,,1.0,2000.0,,200.0,linear,30.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,train,10000,9.419311383922766,0.842025017925841,True,,1.0,2000.0,,200.0,linear,40.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,test,10000,10.98257127205642,0.8122491663366571,True,,1.0,2000.0,,200.0,linear,40.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,val,10000,10.882641047486375,0.814933213832608,True,,1.0,2000.0,,200.0,linear,40.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,train,10000,9.59981270195427,0.8389977592104045,True,,1.0,2000.0,,200.0,linear,50.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,test,10000,10.986186294495736,0.8121873662845672,True,,1.0,2000.0,,200.0,linear,50.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,val,10000,10.939974759348196,0.8139582146805624,True,,1.0,2000.0,,200.0,linear,50.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,train,10000,9.078876140711682,0.8477345915084148,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,test,10000,10.978571302467246,0.8123175471926872,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,torchMLP,val,10000,10.920807677769638,0.8142841640684431,True,,1.0,2000.0,,200.0,linear,100.0,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,11.851566172643116,0.8012327146473113,False,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,11.71878698068419,0.7996633055553475,False,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,11.662116303490667,0.8016777016921024,False,False,0.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,11.891618039245124,0.8005609890136,True,False,0.0,100.0,0.001,10.0,,,False,,,,,
