,iter,method,train_test,r2,depth
125,2,Neumann,test,0.8474590439062053,3.0
126,2,Neumann_res,train,0.8540136776713417,4.0
127,2,Neumann_res,test,0.8491935860912396,4.0
128,2,Neumann,train,0.8533643588790671,4.0
129,2,Neumann,test,0.8485122507207342,4.0
130,2,Neumann_res,train,0.8566190158782487,5.0
131,2,Neumann_res,test,0.8499214995666211,5.0
132,2,Neumann,train,0.8560386603341473,5.0
133,2,Neumann,test,0.8500724837073905,5.0
134,2,Neumann_res,train,0.8575265207832327,6.0
135,2,Neumann_res,test,0.849604541544402,6.0
136,2,Neumann,train,0.8581977774879923,6.0
137,2,Neumann,test,0.8505506271981677,6.0
138,2,Neumann_res,train,0.8586286524954414,7.0
139,2,Neumann_res,test,0.8484381151620171,7.0
140,2,Neumann,train,0.8591357669561575,7.0
141,2,Neumann,test,0.8491399571433903,7.0
142,2,Neumann_res,train,0.8600911916560786,8.0
143,2,Neumann_res,test,0.8476839640258147,8.0
144,2,Neumann,train,0.8605014903641982,8.0
145,2,Neumann,test,0.8478821160444648,8.0
146,2,Neumann_res,train,0.8611158804058061,9.0
147,2,Neumann_res,test,0.8459495121523438,9.0
148,2,Neumann,train,0.8611435120938586,9.0
149,2,Neumann,test,0.8468183732085918,9.0
150,2,Neumann_analytic,,0.7410888367932991,0.0
151,2,Neumann_analytic,,0.7773611606789529,1.0
152,2,Neumann_analytic,,0.7960316555543507,2.0
153,2,Neumann_analytic,,0.8076838660734957,3.0
154,2,Neumann_analytic,,0.8157322907972695,4.0
155,2,Neumann_analytic,,0.8216608981236077,5.0
156,2,Neumann_analytic,,0.8374532369012886,10.0
157,2,Neumann_analytic,,0.8446015158681457,15.0
158,2,Neumann_analytic,,0.8487708956751412,20.0
159,2,Neumann_analytic,,0.853521599871435,30.0
160,2,Neumann_analytic,,0.8562053162969819,40.0
161,2,Neumann_analytic,,0.8579535079874956,50.0
162,2,Neumann_analytic,,0.861873532880288,100.0
163,2,Bayes_rate,train,0.861873532880288,
164,2,Bayes_rate,test,0.861873532880288,
165,3,Neumann_res,train,0.727502292149492,0.0
166,3,Neumann_res,test,0.7262718390238112,0.0
167,3,Neumann,train,0.7325482870114652,0.0
168,3,Neumann,test,0.7306272301236247,0.0
169,3,Neumann_res,train,0.7726203358172841,1.0
170,3,Neumann_res,test,0.766560816161085,1.0
171,3,Neumann,train,0.7784385847079576,1.0
172,3,Neumann,test,0.7740309438964652,1.0
173,3,Neumann_res,train,0.7986621842116801,2.0
174,3,Neumann_res,test,0.7950943041612797,2.0
175,3,Neumann,train,0.7977147392292414,2.0
176,3,Neumann,test,0.7941662738922648,2.0
177,3,Neumann_res,train,0.8012369235052991,3.0
178,3,Neumann_res,test,0.7950323704219199,3.0
179,3,Neumann,train,0.8081905116355713,3.0
180,3,Neumann,test,0.8035629012524488,3.0
181,3,Neumann_res,train,0.8128703757063365,4.0
182,3,Neumann_res,test,0.8072367709481856,4.0
183,3,Neumann,train,0.814137330489042,4.0
184,3,Neumann,test,0.8076878493908489,4.0
185,3,Neumann_res,train,0.8152506776575363,5.0
186,3,Neumann_res,test,0.8081014133269504,5.0
187,3,Neumann,train,0.8178359152590724,5.0
188,3,Neumann,test,0.809607076717081,5.0
189,3,Neumann_res,train,0.8181299520492543,6.0
190,3,Neumann_res,test,0.8075737837475531,6.0
191,3,Neumann,train,0.8202381621694211,6.0
192,3,Neumann,test,0.8089068484872174,6.0
193,3,Neumann_res,train,0.821273907149759,7.0
194,3,Neumann_res,test,0.8087929301691507,7.0
195,3,Neumann,train,0.8220652386809721,7.0
196,3,Neumann,test,0.8094535007743565,7.0
197,3,Neumann_res,train,0.8218344431112964,8.0
198,3,Neumann_res,test,0.809577544257144,8.0
199,3,Neumann,train,0.823980501957682,8.0
200,3,Neumann,test,0.8091776419067757,8.0
201,3,Neumann_res,train,0.8233805405141807,9.0
202,3,Neumann_res,test,0.8087466335316096,9.0
203,3,Neumann,train,0.8258707315550176,9.0
204,3,Neumann,test,0.810600359198068,9.0
205,3,Neumann_analytic,,0.5886922973367331,0.0
206,3,Neumann_analytic,,0.6485627019216974,1.0
207,3,Neumann_analytic,,0.681616074508083,2.0
208,3,Neumann_analytic,,0.7032195752574661,3.0
209,3,Neumann_analytic,,0.7187996389770508,4.0
210,3,Neumann_analytic,,0.7307538310695806,5.0
211,3,Neumann_analytic,,0.7653382782753273,10.0
212,3,Neumann_analytic,,0.7825259851892491,15.0
213,3,Neumann_analytic,,0.7929396889510656,20.0
214,3,Neumann_analytic,,0.8049708183356592,30.0
215,3,Neumann_analytic,,0.8116882697028422,40.0
216,3,Neumann_analytic,,0.8159357961936825,50.0
217,3,Neumann_analytic,,0.8245955157172427,100.0
218,3,Bayes_rate,train,0.8245955157172427,
219,3,Bayes_rate,test,0.8245955157172427,
220,4,Neumann_res,train,0.7407860459801222,0.0
221,4,Neumann_res,test,0.7381735813759862,0.0
222,4,Neumann,train,0.7405019029331221,0.0
223,4,Neumann,test,0.738096389582382,0.0
224,4,Neumann_res,train,0.7783596388226881,1.0
225,4,Neumann_res,test,0.7754130484692909,1.0
226,4,Neumann,train,0.7763802568615381,1.0
227,4,Neumann,test,0.7744508284218594,1.0
228,4,Neumann_res,train,0.7905246867670848,2.0
229,4,Neumann_res,test,0.7862224562895419,2.0
230,4,Neumann,train,0.7960998035031325,2.0
231,4,Neumann,test,0.7937469588885959,2.0
232,4,Neumann_res,train,0.8017592449258104,3.0
233,4,Neumann_res,test,0.7973365611590082,3.0
234,4,Neumann,train,0.8041758367931897,3.0
235,4,Neumann,test,0.800967048171642,3.0
236,4,Neumann_res,train,0.806781370954616,4.0
237,4,Neumann_res,test,0.8007283658471296,4.0
238,4,Neumann,train,0.8090323974307524,4.0
239,4,Neumann,test,0.802309031646647,4.0
240,4,Neumann_res,train,0.8107287753187822,5.0
241,4,Neumann_res,test,0.8012502183376651,5.0
242,4,Neumann,train,0.8134996742254669,5.0
243,4,Neumann,test,0.8053003468046187,5.0
244,4,Neumann_res,train,0.8140121103271004,6.0
245,4,Neumann_res,test,0.8029515742861748,6.0
246,4,Neumann,train,0.8150806038266012,6.0
247,4,Neumann,test,0.8050080935759237,6.0
248,4,Neumann_res,train,0.8152950024640707,7.0
249,4,Neumann_res,test,0.8039710759758152,7.0
250,4,Neumann,train,0.8176069585578353,7.0
251,4,Neumann,test,0.8043022883815044,7.0
252,4,Neumann_res,train,0.8185053728061298,8.0
253,4,Neumann_res,test,0.804602563953558,8.0
254,4,Neumann,train,0.8185771932541664,8.0
255,4,Neumann,test,0.8043954231050887,8.0
256,4,Neumann_res,train,0.8195101739186026,9.0
257,4,Neumann_res,test,0.801098088206619,9.0
258,4,Neumann,train,0.8205313946615163,9.0
259,4,Neumann,test,0.8035409452763025,9.0
260,4,Neumann_analytic,,0.6378280779077532,0.0
261,4,Neumann_analytic,,0.6815983333935056,1.0
262,4,Neumann_analytic,,0.7059185124993117,2.0
263,4,Neumann_analytic,,0.7223005041019901,3.0
264,4,Neumann_analytic,,0.7344158673568768,4.0
265,4,Neumann_analytic,,0.7438688513512333,5.0
266,4,Neumann_analytic,,0.7716803420062947,10.0
267,4,Neumann_analytic,,0.785550603988241,15.0
268,4,Neumann_analytic,,0.7939222163492052,20.0
269,4,Neumann_analytic,,0.8035806938945895,30.0
270,4,Neumann_analytic,,0.8090092194688367,40.0
271,4,Neumann_analytic,,0.8124883905270689,50.0
272,4,Neumann_analytic,,0.8199331947607468,100.0
273,4,Bayes_rate,train,0.8199331947607468,
274,4,Bayes_rate,test,0.8199331947607468,
